,flux
2015/5/21,107.93002
2015/5/22,104.92143
2015/5/23,102.61339
2015/5/24,101.4087
2015/5/25,101.6095
2015/5/26,99.299675
2015/5/27,98.596436
2015/5/28,97.7926
2015/5/29,96.3855
2015/5/30,95.2796
2015/5/31,97.7926
2015/6/1,97.99356
2015/6/2,102.61339
2015/6/3,104.62045
2015/6/4,112.33879
2015/6/5,123.34068
2015/6/6,129.22993
2015/6/7,137.50089
2015/6/8,143.27092
2015/6/9,139.49146
2015/6/10,137.69998
2015/6/11,139.88945
2015/6/12,142.47552
2015/6/13,142.6744
2015/6/14,140.58586
2015/6/15,136.90353
2015/6/16,139.19293
2015/6/17,140.18793
2015/6/18,140.58586
2015/6/19,291.00574
2015/6/20,140.98376
2015/6/21,139.49146
2015/6/22,135.90775
2015/6/23,173.68018
2015/6/24,120.74283
2015/6/25,116.04262
2015/6/26,106.12512
2015/6/27,104.8211
2015/6/28,101.107475
2015/6/29,101.00706
2015/6/30,100.30411
2015/7/1,104.419785
2015/7/2,114.040955
2015/7/3,117.7433
2015/7/4,117.3432
2015/7/5,120.54292
2015/7/6,129.03044
2015/7/7,138.09814
2015/7/8,137.50089
2015/7/9,133.31761
2015/7/10,126.935104
2015/7/11,133.7162
2015/7/12,124.93858
2015/7/13,120.34302
2015/7/14,115.0419
2015/7/15,109.93458
2015/7/16,104.72078
2015/7/17,103.51668
2015/7/18,101.7099
2015/7/19,99.19923
2015/7/20,102.81413
2015/7/21,97.189606
2015/7/22,94.37456
2015/7/23,92.16144
2015/7/24,92.262054
2015/7/25,95.88284
2015/7/26,97.189606
2015/7/27,99.80192
2015/7/28,103.11524
2015/7/29,104.8211
2015/7/30,104.21912
2015/7/31,105.423004
2015/8/1,104.72078
2015/8/2,106.12512
2015/8/3,105.423004
2015/8/4,108.93242
2015/8/5,110.43556
2015/8/6,115.242065
2015/8/7,122.44162
2015/8/8,126.6357
2015/8/9,126.13661
2015/8/10,118.14336
2015/8/11,111.337204
2015/8/12,106.526276
2015/8/13,102.81413
2015/8/14,97.491104
2015/8/15,95.78232
2015/8/16,92.262054
2015/8/17,88.336075
2015/8/18,89.44377
2015/8/19,91.356384
2015/8/20,98.49596
2015/8/21,106.526276
2015/8/22,118.14336
2015/8/23,120.24306
2015/8/24,128.83093
2015/8/25,129.42943
2015/8/26,124.73889
2015/8/27,126.53589
2015/8/28,113.1399
2015/8/29,110.9365
2015/8/30,102.914505
2015/8/31,94.07284
2015/9/1,93.56992
2015/9/2,91.457016
2015/9/3,90.55118
2015/9/4,88.53749
2015/9/5,91.15509
2015/9/6,87.429565
2015/9/7,87.22809
2015/9/8,85.5152
2015/9/9,85.41441
2015/9/10,83.80162
2015/9/11,85.21285
2015/9/12,94.67626
2015/9/13,100.404526
2015/9/14,99.90236
2015/9/15,98.6969
2015/9/16,102.71376
2015/9/17,110.23518
2015/9/18,107.93002
2015/9/19,104.72078
2015/9/20,106.726845
2015/9/21,108.531494
2015/9/22,105.12207
2015/9/23,109.03265
2015/9/24,110.03478
2015/9/25,109.23309
2015/9/26,121.04266
2015/9/27,121.54234
2015/9/28,126.735504
2015/9/29,129.82838
2015/9/30,131.82259
2015/10/1,130.82559
2015/10/2,118.14336
2015/10/3,107.328476
2015/10/4,97.189606
2015/10/5,88.94031
2015/10/6,83.700806
2015/10/7,81.6839
2015/10/8,80.97777
2015/10/9,80.0697
2015/10/10,81.58303
2015/10/11,81.885635
2015/10/12,85.31363
2015/10/13,89.54445
2015/10/14,95.68178
2015/10/15,101.107475
2015/10/16,106.22542
2015/10/17,108.93242
2015/10/18,116.04262
2015/10/19,119.24333
2015/10/20,123.04103
2015/10/21,122.94113
2015/10/22,125.53764
2015/10/23,120.14308
2015/10/24,114.040955
2015/10/25,107.127945
2015/10/26,105.92453
2015/10/27,105.22238
2015/10/28,109.23309
2015/10/29,111.43736
2015/10/30,112.038345
2015/10/31,122.44162
2015/11/1,114.94183
2015/11/2,125.63748
2015/11/3,120.54292
2015/11/4,118.74338
2015/11/5,112.438934
2015/11/6,108.832184
2015/11/7,114.44136
2015/11/8,113.039764
2015/11/9,106.526276
2015/11/10,106.526276
2015/11/11,104.31944
2015/11/12,103.71739
2015/11/13,101.8103
2015/11/14,101.7099
2015/11/15,104.62045
2015/11/16,104.419785
2015/11/17,103.617035
2015/11/18,105.12207
2015/11/19,105.523315
2015/11/20,106.024826
2015/11/21,108.832184
2015/11/22,119.64325
2015/11/23,121.44241
2015/11/24,117.64328
2015/11/25,110.9365
2015/11/26,106.62656
2015/11/27,102.914505
2015/11/28,96.787575
2015/11/29,94.47513
2015/11/30,93.46933
2015/12/1,94.776825
2015/12/2,92.5639
2015/12/3,92.96634
2015/12/4,91.96019
2015/12/5,96.083916
2015/12/6,97.89308
2015/12/7,100.00279
2015/12/8,98.596436
2015/12/9,104.8211
2015/12/10,105.32269
2015/12/11,105.32269
2015/12/12,112.038345
2015/12/13,113.740616
2015/12/14,118.443375
2015/12/15,120.44296
2015/12/16,117.043106
2015/12/17,121.94205
2015/12/18,115.242065
2015/12/19,113.94084
2015/12/20,116.642944
2015/12/21,113.1399
2015/12/22,119.543274
2015/12/23,124.838745
2015/12/24,129.6289
2015/12/25,129.03044
2015/12/26,123.44058
2015/12/27,113.1399
2015/12/28,103.91809
2015/12/29,111.23703
2015/12/30,101.8103
2015/12/31,97.39061
2016/1/1,93.67051
2016/1/2,95.2796
2016/1/3,97.5916
2016/1/4,99.40013
2016/1/5,92.86574
2016/1/6,92.262054
2016/1/7,97.5916
2016/1/8,100.80623
2016/1/9,106.3257
2016/1/10,103.91809
2016/1/11,105.72392
2016/1/12,106.12512
2016/1/13,102.71376
2016/1/14,100.70581
2016/1/15,100.50496
2016/1/16,100.90665
2016/1/17,98.09405
2016/1/18,97.99356
2016/1/19,97.089096
2016/1/20,94.5757
2016/1/21,97.7926
2016/1/22,101.4087
2016/1/23,97.491104
2016/1/24,95.98338
2016/1/25,100.50496
2016/1/26,104.8211
2016/1/27,110.53576
2016/1/28,111.337204
2016/1/29,108.03027
2016/1/30,106.726845
2016/1/31,102.11147
2016/2/1,98.6969
2016/2/2,97.5916
2016/2/3,100.00279
2016/2/4,109.63396
2016/2/5,119.94316
2016/2/6,116.74298
2016/2/7,114.841736
2016/2/8,115.44223
2016/2/9,112.53908
2016/2/10,114.241165
2016/2/11,109.63396
2016/2/12,112.8395
2016/2/13,110.13498
2016/2/14,108.531494
2016/2/15,106.62656
2016/2/16,105.72392
2016/2/17,101.7099
2016/2/18,97.189606
2016/2/19,93.26814
2016/2/20,92.262054
2016/2/21,97.39061
2016/2/22,94.47513
2016/2/23,92.262054
2016/2/24,89.947174
2016/2/25,87.12735
2016/2/26,89.242386
2016/2/27,87.73176
2016/2/28,89.34308
2016/2/29,92.06081
2016/3/1,90.04784
2016/3/2,95.2796
2016/3/3,97.491104
2016/3/4,98.39549
2016/3/5,99.40013
2016/3/6,95.4807
2016/3/7,94.67626
2016/3/8,92.96634
2016/3/9,94.67626
2016/3/10,96.88808
2016/3/11,94.67626
2016/3/12,93.87168
2016/3/13,94.5757
2016/3/14,93.16755
2016/3/15,92.76514
2016/3/16,93.56992
2016/3/17,90.9538
2016/3/18,82.994995
2016/3/19,90.55118
2016/3/20,89.14169
2016/3/21,87.63103
2016/3/22,88.94031
2016/3/23,87.02661
2016/3/24,86.52287
2016/3/25,86.22059
2016/3/26,85.41441
2016/3/27,85.81752
2016/3/28,88.43678
2016/3/29,88.03393
2016/3/30,87.933205
